group_id,pipes,root_pass_butt_process,filler_pass_butt_process,fillet_socket_process,welding_material_root_pass_butt,welding_material_filler_pass_butt,welding_material_root_pass_other,welding_material_filler_pass_other,welding_material_fillet_socket,preheat_base,preheat_thk,preheat_above,interpass,pwht_thk,pwht_temp,pwht_minhold,hardness,code,notes
A4G,"ASTM A335 GR.P9, ASTM A691 GR.9CR CL.42",GTAW,GTAW/SMAW (Note-1),SMAW,ER80S-B8,ER80S-B8/E8016-B8L/E8018-B8L,ER80S-B8,ER80S-B8/E8016-B8L/E8018-B8L,E8016-B8L/E8018-B8L,250,,,250-300°C,,675-760°C,2 HRS,241 BHN MAX,ASME B31.3,"2. Post heating required if weld metal cools below 150°C after welding & before PWHT: heat to 300°C, hold 1hr min, wrap mineral wool before cooling. 3. PWHT for ALL wall thicknesses; hardness shall not exceed 241 BHN. Attachments stress relieved & meet hardness limit."
A1K,"ASTM A312 TP304, ASTM A358 TP304 CL.1",GTAW,GTAW/SMAW,SMAW,ER308/ER308L,ER308/ER308L/E308-15/16/E308L-15/16,ER308/ER308L,ER308/ER308L/E308-15/16/E308L-15/16,E308-15/16/E308L-15/16,10,,,175°C MAX,,,,-,ASME B31.3,"1. For piping sizes 2"" OD & below shall be entirely welded by GTAW process."
A6K,"ASTM A312 TP304/304L, ASTM A358 TP304/304L CL.1",GTAW,GTAW/SMAW (Note-1),SMAW,ER308L,ER308L/E308L-15/16,ER308L,ER308L/E308L-15/16,E308L-15/16,10,,,175°C MAX,,,,-,ASME B31.3,"1. For piping sizes 2"" OD & below entirely GTAW. 2. Ferrite content shall be reported in the PQR and shall be in the range of 3 to 8 FN."
A2K,"ASTM A312 TP304, ASTM A358 TP304 CL.1",GTAW,GTAW/SMAW,SMAW,ER308/ER308L (Note-2),ER308/ER308L/E308-15/16/E308L-15/16 (Note-2),ER308/ER308L/E308-15/16/E308L-15/16 (Note-2),ER308/ER308L/E308-15/16/E308L-15/16 (Note-2),E308-15/16/E308L-15/16 (Note-2),10,,,175°C MAX,,,,-,ASME B31.3,"1. For piping sizes 2"" OD & below entirely GTAW. 2. All batches of filler materials shall have guaranteed minimum as-welded impact value of 0.38mm lateral expansion at -196°C at site; all five values shall be over 0.38mm. 3. Ferrite content shall be reported in PQR, range 1 to 8 FN. CRYOGENIC SERVICE."
A1N,"ASTM A312 TP316/316L, ASTM A358 TP316/316L CL.1",GTAW,GTAW/SMAW,SMAW,ER316L,ER316L/E316L-15/16,ER316L,ER316L/E316L-15/16,E316L-15/16,10,,,175°C MAX,,,,-,ASME B31.3,"1. For piping sizes 2"" OD & below shall be entirely welded by GTAW process."
A1Y,"ASTM A312 TP321, ASTM A358 TP321 CL.1",GTAW,GTAW/SMAW (Note-1),SMAW,ER321/ER347,ER321/ER347/E347-15/16,ER321/ER347,ER321/ER347/E347-15/16,E347-15/16,10,,,175°C MAX,,,,-,ASME B31.3,"1. For piping sizes 2"" OD & below entirely GTAW. 2. During procedure qualification, weld metal ferrite content shall be measured and shall be in the range of 3-8%."
A27Y,"ASTM A312 TP321, ASTM A358 TP321 CL.1",GTAW,GTAW/SMAW (Note-1),SMAW,ER321/ER347,ER321/ER347/E347-15/16,ER321/ER347,ER321/ER347/E347-15/16,E347-15/16,10,,,175°C MAX,,,,-,ASME B31.3,"NOTE: Document lists this card's heading as ""A27Y"" (page 27) with identical content to the A1Y group (SS321). This is distinct from the A27Y card on page 29, which is a different alloy (Monel 400 / UNS N04400). Verify against the controlled PDF / PMS before use — flagged here as a possible document duplication/typo rather than resolved silently. 1. For piping 2"" OD & below entirely GTAW. 2. Ferrite content 3-8% during PQ."
B27M,"ASTM A312 TP347, ASTM A358 TP347 CL.1, ASTM A312 TP347H",GTAW,GTAW/SMAW (Note-1),SMAW,ER347,ER347/E347-15/16,ER347,ER347/E347-15/16,E347-15/16,10,,,175°C MAX,,,,-,ASME B31.3,"1. For piping 2"" OD & below entirely GTAW. 2. During procedure qualification, weld metal ferrite content shall be measured and shall be in the range of 5-10 Ferrite Number."
A27Y,"ASTM B165 ANNLD (UNS N04400), ASTM B725 ANNLD (UNS N04400)",GTAW,GTAW/SMAW,SMAW,ERNiCu-7,ENiCu-7,ERNiCu-7,ERNiCr-7/ENiCu-7,ENiCu-7,10,,,,,,,-,ASME B31.3,"1. For piping sizes 2"" OD & below shall be entirely welded by GTAW process. NOTE: card heading duplicates ""A27Y"" from page 27 but covers Monel 400 (UNS N04400) — a different alloy; confirm actual class code against the PMS."
D50Q,ASTM B423 (UNS N08825),GTAW,GTAW/SMAW (Note-1),SMAW,ERNiCrMo-3,ERNiCrMo-3/ENiCrMo-3,ERNiCrMo-3/ENiCrMo-3,ERNiCrMo-3/ENiCrMo-3,ENiCrMo-3,10,,,175°C MAX,,,,,ASME B31.3,"1. For piping sizes 2"" OD & below shall be entirely welded by GTAW process."
D51Q,"ASTM B444 (UNS N06625) GR.1, ASTM B474 (UNS N06625) GR.1",GTAW,GTAW/SMAW (Note-1),SMAW,ERNiCrMo-3,ERNiCrMo-3/ENiCrMo-3,ERNiCrMo-3,ERNiCrMo-3/ENiCrMo-3,ENiCrMo-3,Not specified,,,175°C MAX,,,,-,ASME B31.3,"1. For piping sizes 2"" OD & below shall be entirely welded by GTAW process."
