PMS,CLASS,TYPE,FACING,DIA(LOW),DIA(HIGH),RATING,DESIGN_STANDARD,MATERIAL_DESCRIPTION
EIL,A13A,SEAMLESS,BE,2,3,S160,B-36.10,ASTM A106 GR.B
EIL,A13A,SEAMLESS,BE,4,4,S120,B-36.10,ASTM A106 GR.B
EIL,A13A,SEAMLESS,BE,6,8,XS,B-36.10,ASTM A106 GR.B
EIL,A13A,SEAMLESS,BE,10,10,XS,B-36.10,ASTM A106 GR.B
EIL,A13A,SEAMLESS,BE,12,14,XS,B-36.10,ASTM A106 GR.B
EIL,A13A,EFSW,BE,16,24,XS,B-36.10,ASTM A672 GR.B60 CL.12
EIL,A15A,SEAMLESS,BE,0.75,2,XS,B-36.10,ASTM A106 GR.B
EIL,A15A,SEAMLESS,BE,3,14,STD,B-36.10,ASTM A106 GR.B
EIL,A15A,SEAMLESS,BE,16,16,STD,B-36.10,ASTM A672 GR.B60 CL.12
EIL,A16A,SEAMLESS,PE,0.5,0.5,XXS,B-36.10,ASTM A106 GR.B
EIL,A16A,SEAMLESS,PE,0.75,1.5,S160,B-36.10,ASTM A106 GR.B
EIL,A16A,SEAMLESS,BE,2,2,S160,B-36.10,ASTM A106 GR.B
EIL,A16A,SEAMLESS,BE,3,12,XS,B-36.10,ASTM A106 GR.B
EIL,A16A,SEAMLESS,BE,14,14,XS,B-36.10,ASTM A106 GR.B
EIL,A16A,EFSW,BE,16,16,XS,B-36.10,ASTM A672 GR.B60 CL.22
EIL,A16A,EFSW,BE,18,20,STD,B-36.10,ASTM A672 GR.B60 CL.22
EIL,A16A,EFSW,BE,24,24,XS,B-36.10,ASTM A672 GR.B60 CL.22
EIL,A20A,SEAMLESS,PE,0.5,0.75,S160,B-36.10,ASTM A106 GR.B
EIL,A20A,SEAMLESS,PE,1,1.5,XS,B-36.10,ASTM A106 GR.B
EIL,A20A,SEAMLESS,BE,2,2,XS,B-36.10,ASTM A106 GR.B
EIL,A20A,SEAMLESS,BE,3,14,STD,B-36.10,ASTM A106 GR.B
EIL,A20A,EFSW,BE,16,18,STD,B-36.10,ASTM A672 GR.B60 CL.12
EIL,A26A,SEAMLESS,PE,0.5,0.75,S160,B-36.10,ASTM A106 GR.B
